"loc_id";"int_type";"int_val";"valid_since";"date_type_since";"valid_until";"date_type_until"
"16321";"600700000";"3089";;;"3000-01-01";"300500000"
"16521";"600700000";"364";;;"3000-01-01";"300500000"
"16624";"600700000";"38";;;"3000-01-01";"300500000"
"16771";"600700000";"293";;;"3000-01-01";"300500000"
"16875";"600700000";"29403";;;"3000-01-01";"300500000"
"17029";"600700000";"93";;;"3000-01-01";"300500000"
"17140";"600700000";"233";;;"3000-01-01";"300500000"
"17175";"600700000";"55";;;"3000-01-01";"300500000"
"17252";"600700000";"295";;;"3000-01-01";"300500000"
"17293";"600700000";"403";;;"3000-01-01";"300500000"
"17375";"600700000";"319";;;"3000-01-01";"300500000"
"17419";"600700000";"211";;;"3000-01-01";"300500000"
"17431";"600700000";"89";;;"3000-01-01";"300500000"
"17470";"600700000";"3521";;;"3000-01-01";"300500000"
"17546";"600700000";"128";;;"3000-01-01";"300500000"
"17571";"600700000";"866";;;"3000-01-01";"300500000"
"17574";"600700000";"536";;;"3000-01-01";"300500000"
"17613";"600700000";"233";;;"3000-01-01";"300500000"
"17649";"600700000";"1637";;;"3000-01-01";"300500000"
"17659";"600700000";"1300";;;"3000-01-01";"300500000"
"17672";"600700000";"1190";;;"3000-01-01";"300500000"
"17844";"600700000";"457";;;"3000-01-01";"300500000"
"17861";"600700000";"763";;;"3000-01-01";"300500000"
"17901";"600700000";"235";;;"3000-01-01";"300500000"
"18005";"600700000";"141";;;"3000-01-01";"300500000"
"18515";"600700000";"446";;;"3000-01-01";"300500000"
"18584";"600700000";"444";;;"3000-01-01";"300500000"
"18667";"600700000";"178";;;"3000-01-01";"300500000"
"18680";"600700000";"250";;;"3000-01-01";"300500000"
"18996";"600700000";"187";;;"3000-01-01";"300500000"
"19073";"600700000";"221";;;"3000-01-01";"300500000"
"19129";"600700000";"534";;;"3000-01-01";"300500000"
"19139";"600700000";"1148";;;"3000-01-01";"300500000"
"19343";"600700000";"259";;;"3000-01-01";"300500000"
"19408";"600700000";"647";;;"3000-01-01";"300500000"
"19431";"600700000";"252";;;"3000-01-01";"300500000"
"19433";"600700000";"611";;;"3000-01-01";"300500000"
"19454";"600700000";"540";;;"3000-01-01";"300500000"
"19493";"600700000";"739";;;"3000-01-01";"300500000"
"19564";"600700000";"288";;;"3000-01-01";"300500000"
"19590";"600700000";"656";;;"3000-01-01";"300500000"
"19703";"600700000";"1080";;;"3000-01-01";"300500000"
"19735";"600700000";"336";;;"3000-01-01";"300500000"
"19740";"600700000";"196";;;"3000-01-01";"300500000"
"19748";"600700000";"1555";;;"3000-01-01";"300500000"
"19761";"600700000";"1338";;;"3000-01-01";"300500000"
"19772";"600700000";"386";;;"3000-01-01";"300500000"
"19803";"600700000";"249";;;"3000-01-01";"300500000"
"19838";"600700000";"825";;;"3000-01-01";"300500000"
"19934";"600700000";"156";;;"3000-01-01";"300500000"
"19973";"600700000";"497";;;"3000-01-01";"300500000"
"19977";"600700000";"392";;;"3000-01-01";"300500000"
"20007";"600700000";"11671";;;"3000-01-01";"300500000"
"20078";"600700000";"467";;;"3000-01-01";"300500000"
"20251";"600700000";"1154";;;"3000-01-01";"300500000"
"20446";"600700000";"208";;;"3000-01-01";"300500000"
"20473";"600700000";"683";;;"3000-01-01";"300500000"
"20737";"600700000";"90";;;"3000-01-01";"300500000"
"20999";"600700000";"525";;;"3000-01-01";"300500000"
"21009";"600700000";"18499";;;"3000-01-01";"300500000"
"21150";"600700000";"192";;;"3000-01-01";"300500000"
"21208";"600700000";"958";;;"3000-01-01";"300500000"
"21230";"600700000";"710";;;"3000-01-01";"300500000"
"21723";"600700000";"190";;;"3000-01-01";"300500000"
"21725";"600700000";"631";;;"3000-01-01";"300500000"
"21847";"600700000";"1025";;;"3000-01-01";"300500000"
"22306";"600700000";"725";;;"3000-01-01";"300500000"
"22543";"600700000";"383";;;"3000-01-01";"300500000"
"22545";"600700000";"334";;;"3000-01-01";"300500000"
"22835";"600700000";"13785";;;"3000-01-01";"300500000"
"23161";"600700000";"283";;;"3000-01-01";"300500000"
"23222";"600700000";"64";;;"3000-01-01";"300500000"
"23275";"600700000";"865";;;"3000-01-01";"300500000"
"23289";"600700000";"515";;;"3000-01-01";"300500000"
"23479";"600700000";"372";;;"3000-01-01";"300500000"
"23485";"600700000";"556";;;"3000-01-01";"300500000"
"23516";"600700000";"1617";;;"3000-01-01";"300500000"
"23710";"600700000";"566";;;"3000-01-01";"300500000"
"23800";"600700000";"599";;;"3000-01-01";"300500000"
"23817";"600700000";"845";;;"3000-01-01";"300500000"
"23857";"600700000";"1290";;;"3000-01-01";"300500000"
"23958";"600700000";"513";;;"3000-01-01";"300500000"
"23971";"600700000";"164";;;"3000-01-01";"300500000"
"23978";"600700000";"466";;;"3000-01-01";"300500000"
"24040";"600700000";"14864";;;"3000-01-01";"300500000"
"24117";"600700000";"533";;;"3000-01-01";"300500000"
"24240";"600700000";"669";;;"3000-01-01";"300500000"
"24241";"600700000";"252";;;"3000-01-01";"300500000"
"24262";"600700000";"311";;;"3000-01-01";"300500000"
"24314";"600700000";"312";;;"3000-01-01";"300500000"
"24566";"600700000";"556";;;"3000-01-01";"300500000"
"24598";"600700000";"976";;;"3000-01-01";"300500000"
"24702";"600700000";"421";;;"3000-01-01";"300500000"
"24806";"600700000";"526";;;"3000-01-01";"300500000"
